ARHGEF4	N3.HOG0005733
PLXNB1	N3.HOG0009795
NCKIPSD	N3.HOG0009786
C17H3orf84	N3.HOG0009770
CRBN	N3.HOG0009633
BHLHE40	N3.HOG0009629
CNTN3	N3.HOG0009639
MMEL1	N3.HOG0003443
EXOSC10	N3.HOG0008285
EXOSC10	N3.HOG0008285
MTOR	N3.HOG0008286
AKR7A2	N3.HOG0002638
EPHA8	N3.HOG0008362
ZNF362	N3.HOG0008484
ATAD2B	N3.HOG0008942
TMEM214	N3.HOG0008972
NLRC4	N3.HOG0009015
RAD51AP2	N3.HOG0016381
PCARE	N3.HOG0009002
MTF2	N3.HOG0006675
RAB38	N3.HOG0007201
AGGF1	N3.HOG0004736
LATS1	N3.HOG0006359
TXLNB	N3.HOG0006385
KCNC2	N3.HOG0008133
VEZT	N3.HOG0016275
STOX2	N3.HOG0012116
SCFD2	N3.HOG0004267
SLC10A6	N3.HOG0002193
FGF5	N3.HOG0004317
NUP54	N3.HOG0002196
ARL14EP	N3.HOG0006988
IQGAP1	N3.HOG0012323
MRPL46	N3.HOG0012361
LOC102542352	N3.HOG0006279
TFAP2A	N3.HOG0010478
TFAP2A	N3.HOG0010478
PYCR2	N3.HOG0000722
RPL26L1	N3.HOG0016697
FOXI1	N3.HOG0011104
FOXI1	N3.HOG0011104
B3GNT3	N3.HOG0016708
VAT1	N3.HOG0009266
CNTNAP1	N3.HOG0009277
DDX42	N3.HOG0009314
CASKIN2	N3.HOG0009389
GALR2	N3.HOG0009401
TK1	N3.HOG0009418
RPTOR	N3.HOG0009443
SMURF2	N3.HOG0009324
GPR137C	N3.HOG0005842
TBPL2	N3.HOG0005862
FANCM	N3.HOG0005815
SLC15A5	N3.HOG0016994
AMN1	N3.HOG0013117
RESF1	N3.HOG0013116
NDUFC1	N3.HOG0004489
TRDN	N3.HOG0006441
PRDX3	N3.HOG0007688
DCLRE1A	N3.HOG0007714
CCDC178	N3.HOG0011625
CFAP206	N3.HOG0006548
TBX18	N3.HOG0006555
C13H1orf210	N3.HOG0016336
FAAH	N3.HOG0008612
SEC62	N3.HOG0003919
UTS2B	N3.HOG0015817
CLDN16	N3.HOG0004065
RTP2	N3.HOG0004059
DVL3	N3.HOG0004025
MFHAS1	N3.HOG0003154
SCNN1B	N3.HOG0010184
RBBP6	N3.HOG0010172
TAOK2	N3.HOG0010142
NCF1	N3.HOG0010076
C18H16orf82	N3.HOG0018185
C18H16orf82	N3.HOG0018185
GTF3C1	N3.HOG0010167
FBXO48	N3.HOG0017348
SNRNP27	N3.HOG0015565
SFXN5	N3.HOG0015584
TEX261	N3.HOG0015576
LPCAT4	N3.HOG0014097
FMN1	N3.HOG0001733
CCDC9B	N3.HOG0014069
KNL1	N3.HOG0003408
TYRO3	N3.HOG0014041
TTBK1	N3.HOG0010628
CUL9	N3.HOG0010626
MDFI	N3.HOG0010602
KCNK5	N3.HOG0010591
LOC102528235	N3.HOG0017705
RING1	N3.HOG0001311
TAP1	N3.HOG0001035
SPATS1	N3.HOG0010654
MLN	N3.HOG0016598
LMOD2	N3.HOG0014619
FLNC	N3.HOG0014600
CPA2	N3.HOG0017215
CPA2	N3.HOG0017215
PSKH2	N3.HOG0017830
PSKH2	N3.HOG0017830
CA1	N3.HOG0001999
SPATA25	N3.HOG0010319
LPIN3	N3.HOG0010358
LBP	N3.HOG0010367
DLGAP4	N3.HOG0010387
CHMP4B	N3.HOG0010414
TTLL9	N3.HOG0010441
NECAB3	N3.HOG0010418
LRRK2	N3.HOG0007991
KCNH3	N3.HOG0007935
CELA1	N3.HOG0007905
