gene	alpha	pval	p.adjust	poly neutral	diver neutral	poly selected	diver selected	ka	ks	
PLD2	0.808890292	0.038034064	1	11	16.61826	2	15.8103	0.009	0.0282	
COL11A1	0.816169667	0.013387432	1	11	180.07626	2	178.1052	0.049	0.1183	
TF	0.8400944	0.017030046	1	8	30.71548	2	48.02127	0.0363	0.0628	
ITGB4	0.667967869	0.042716303	1	30	60.54752	4	24.31392	0.0057	0.0668	
USP20	0.806083371	0.022201496	1	16	34.24608	2	22.07526	0.0097	0.0759	
KBTBD12	0.880814978	0.030323612	1	6	37.6208	1	52.6084	0.1742	0.3359	
MYO1D	0.896473348	0.009320583	1	13	45.01987	1	33.45097	0.0161	0.0619	
DDX55	0.871982873	0.005217335	1	10	26.86321	2	41.96815	0.0665	0.1639	
DRC1	0.886347397	0.040383568	1	9	9.289	1	9.08128	0.0118	0.035	
RPS5	0.904580821	0.014141017	1	9	14.2272	1	16.5669	0.0343	0.1248	
METTL22	0.903338945	0.013353957	1	9	19.6365	1	22.572	0.0396	0.1007	
HADHA	0.874533144	0.039419908	1	8	16.2324	1	16.172	0.0104	0.0243	
ADCY5	0.881117383	0.014645713	1	16	51.76113	1	27.21231	0.0137	0.1279	
DLX6	0.89015752	0.043748898	1	4	18.16002	1	41.33196	0.1073	0.1299	
ADGRL4	0.723801402	0.048175044	1	14	16.65257	4	17.22629	0.0191	0.0517	
RIPOR2	0.748573787	0.038053291	1	9	33.02385	3	43.78203	0.0327	0.0685	
CLCA1	0.914802206	0.006708761	1	10	21.48748	1	25.2207	0.0135	0.0266	
PARP1	0.821453392	0.015231713	1	13	38.30976	2	33.00992	0.0164	0.0648	
TTC7B	0.855138077	0.04718863	1	6	70.04457	1	80.58774	0.0634	0.1363	
DES	0.939138877	0.007064771	1	26	9.6064	1	6.07082	0.0103	0.079	
GUCY1A2	0.823493264	0.037240998	1	6	16.28613	2	30.75639	0.0877	0.1231	
ACTC1	0.90380034	0.022412657	1	20	13.568	1	7.052	0.0082	0.0512	
MELTF	0.885497569	0.020642529	1	7	50.23984	1	62.68094	0.0463	0.1447	
OTOF	0.620589023	0.001916283	1	24	128.85762	21	297.17226	0.1078	0.2074	
EFL1	0.911342072	0.008594303	1	13	17.43822	1	15.13008	0.0152	0.0387	
ATP10B	0.647210857	0.03928905	1	13	114.10546	5	124.39928	0.0412	0.1351	
SF3B2	0.886457748	0.015581881	1	10	38.23566	1	33.67527	0.0179	0.0538	
USF2	0.898299373	0.026045643	1	5	23.84329	1	46.88917	0.0911	0.1873	
ADAMTS15	0.768936867	0.040177166	1	14	45.18413	2	27.93555	0.0135	0.1139	
FADS2	0.950176706	0.005290362	1	6	4.469	1	14.9495	0.029	0.0436	
DOCK2	0.88332655	0.000208195	0.29188939	21	31.992	3	39.1716	0.0234	0.0688	
PC	0.869502123	0.024363646	1	11	41.27304	1	28.75215	0.0105	0.0552	
BPIFA1	0.894582749	0.043453402	1	4	14.67312	1	34.79772	0.0709	0.0616	
RETSAT	0.836590887	0.002857493	1	12	20.24484	4	41.29684	0.0298	0.0462	
PCSK2	0.770524076	0.008525679	1	14	43.13	4	53.7	0.0375	0.1135	
GAPVD1	0.737102938	0.034686474	1	18	34.89031	3	22.11912	0.0072	0.0299	
SNRNP200	0.849068486	0.000557636	0.586354254	23	67.69408	3	58.50112	0.0232	0.0992	
MPHOSPH8	0.742804686	0.048803916	1	8	31.76572	3	46.31556	0.0582	0.0931	
WRN	0.791238222	0.015613044	1	9	19.8069	4	42.168	0.021	0.0309	
FOXI1	0.827445872	0.030764716	1	10	14.66302	2	16.99527	0.0303	0.2122	
BCL6	0.745379504	0.030598733	1	10	68.06712	3	80.19832	0.0503	0.1947	
SLC29A1	0.906833506	0.010601031	1	7	43.33196	1	66.4432	0.131	0.2537	
SEC13	0.864914636	0.02303585	1	8	6.44127	2	11.92074	0.0174	0.0393	
USP43	0.714251397	0.046662412	1	15	5.13876	12	14.3868	0.038	0.0374	
KMT2A	0.741884294	0.005186254	1	13	115.33228	6	206.22644	0.0509	0.0722	
PCK1	0.802110849	0.020620532	1	9	17.045	3	28.71136	0.0368	0.0875	
AUTS2	0.936396141	8.65E-06	0.0363819	15	55.44536	2	116.2306	0.073	0.1132	activator of transcription and developmental regulator AUTS2
DCLK1	0.897796087	0.019092262	1	8	19.92888	1	24.37392	0.0232	0.0622	
MAGED1	0.907740952	0.024016563	1	11	8.09172	1	7.97332	0.0053	0.0117	
DSCAML1	0.946173293	8.37E-05	0.1760211	26	46.2672	1	33.05994	0.0089	0.063	
PHKB	0.741692394	0.048803916	1	8	31.94174	3	46.37166	0.0321	0.0571	
HEXD	0.895507813	0.006522569	1	8	9.39888	2	22.48704	0.0256	0.0488	
KRT8	0.692433588	0.042385586	1	17	29.80495	4	22.80135	0.0195	0.1435	
CDH2	0.839575322	0.049840564	1	16	8.10966	2	6.3189	0.017	0.0562	
COL1A1	0.761439869	0.009347604	1	24	32.34977	4	22.60071	0.0099	0.0227	
ACSBG1	0.7287579	0.035286837	1	8	15.41412	5	35.51744	0.0224	0.0423	
