gene	alpha	pval	p.adjust	poly neutral	diver neutral	poly selected	diver selected	ka	ks	
PLD2	0.808890292	0.038034064	1	11	16.61826	2	15.8103	0.009	0.0282	
COL11A1	0.775318482	0.036883181	1	9	180.07626	2	178.1052	0.049	0.1183	
PKN1	1	0.026339914	1	4	151.96572	0	229.41177	0.2513	0.6052	
TF	0.817250743	0.031623328	1	7	30.71548	2	48.02127	0.0363	0.0628	
USP20	0.806083371	0.022201496	1	16	34.24608	2	22.07526	0.0097	0.0759	
DDX55	0.81711839	0.032574523	1	7	26.86321	2	41.96815	0.0665	0.1639	
RPS5	0.877318198	0.037327537	1	7	14.2272	1	16.5669	0.0343	0.1248	
ADCY5	0.841489844	0.047068956	1	12	51.76113	1	27.21231	0.0137	0.1279	
DNAJC15	1	0.040740741	1	4	9.05002	0	14.00032	0.0536	0.0889	
DLX6	0.89015752	0.043748898	1	4	18.16002	1	41.33196	0.1073	0.1299	
DGAT2L6	1	0.045454545	1	2	0.9975	0	9.0678	0.0127	0.0035	
CLCA1	0.914802206	0.006708761	1	10	21.48748	1	25.2207	0.0135	0.0266	
PARP1	0.788990373	0.033281355	1	11	38.30976	2	33.00992	0.0164	0.0648	
SPP1	0.928654233	0.036404772	1	6	3.03534	1	7.09068	0.0148	0.0146	
RIN3	0.883348726	0.030813513	1	6	25.39449	1	36.28263	0.0321	0.1017	
DES	0.936704432	0.008141646	1	25	9.6064	1	6.07082	0.0103	0.079	
ACTC1	0.8987372	0.026469246	1	19	13.568	1	7.052	0.0082	0.0512	
GP5	0.892531151	0.034889259	1	7	3.01852	2	8.02497	0.0093	0.0092	
MELTF	0.866413831	0.038829916	1	6	50.23984	1	62.68094	0.0463	0.1447	
OTOF	0.653109964	0.002248205	1	20	128.85762	16	297.17226	0.1078	0.2074	
NRG1	0.889750533	0.021265835	1	6	55.30448	1	83.60506	0.1631	0.3752	
EFL1	0.895222449	0.017733358	1	11	17.43822	1	15.13008	0.0152	0.0387	
ATP10B	0.666453901	0.048768205	1	11	114.10546	4	124.39928	0.0412	0.1351	
SF3B2	0.858072185	0.039228985	1	8	38.23566	1	33.67527	0.0179	0.0538	
USF2	0.898299373	0.026045643	1	5	23.84329	1	46.88917	0.0911	0.1873	
FADS2	0.950176706	0.005290362	1	6	4.469	1	14.9495	0.029	0.0436	
DOCK2	0.918328585	9.21E-05	0.1936863	20	31.992	2	39.1716	0.0234	0.0688	
BPIFA1	0.894582749	0.043453402	1	4	14.67312	1	34.79772	0.0709	0.0616	
RETSAT	0.866301635	0.002254919	1	11	20.24484	3	41.29684	0.0298	0.0462	
PCSK2	0.752872081	0.013590323	1	13	43.13	4	53.7	0.0375	0.1135	
HACD3	1	0.035087719	1	2	2.00178	0	15.24759	0.0227	0.0066	
SNRNP200	0.81729343	0.002792259	1	19	67.69408	3	58.50112	0.0232	0.0992	
KIAA0100	0.796260664	0.033026447	1	16	29.52936	2	18.11712	0.0056	0.0217	
CSRNP1	1	0.026412655	1	6	52.56768	0	47.034	0.045	0.1441	
WRN	0.895619111	0.002919803	1	9	19.8069	2	42.168	0.021	0.0309	
SLC29A1	0.906833506	0.010601031	1	7	43.33196	1	66.4432	0.131	0.2537	
SCAF11	0.745271242	0.043985828	1	9	25.4863	3	33.3509	0.011	0.023	
SEC13	0.864914636	0.02303585	1	8	6.44127	2	11.92074	0.0174	0.0393	
USP43	0.744867319	0.035788647	1	14	5.13876	10	14.3868	0.038	0.0374	
KMT2A	0.776299722	0.008812007	1	10	115.33228	4	206.22644	0.0509	0.0722	
PCK1	0.851583136	0.01599496	1	8	17.045	2	28.71136	0.0368	0.0875	
AUTS2	0.931853008	2.06E-05	0.0866436	14	55.44536	2	116.2306	0.073	0.1132	activator of transcription and developmental regulator AUTS2
DCLK1	0.883195528	0.032451278	1	7	19.92888	1	24.37392	0.0232	0.0622	
MAGED1	0.887238942	0.044851259	1	9	8.09172	1	7.97332	0.0053	0.0117	
DSCAML1	0.933357411	0.000499474	0.700262548	21	46.2672	1	33.05994	0.0089	0.063	
PHKB	0.741692394	0.048803916	1	8	31.94174	3	46.37166	0.0321	0.0571	
ACSM5	0.899672916	0.038405797	1	6	7.67076	1	12.74292	0.0874	0.1318	
HEXD	1	0.002152888	1	6	9.39888	0	22.48704	0.0256	0.0488	
CHID1	1	0.047619048	1	5	1.00008	0	3.02481	0.0051	0.0072	
CDH2	0.839575322	0.049840564	1	16	8.10966	2	6.3189	0.017	0.0562	
COL1A1	0.727359851	0.019741435	1	21	32.34977	4	22.60071	0.0099	0.0227	
ACSBG1	0.752007223	0.03769621	1	7	15.41412	4	35.51744	0.0224	0.0423	
