N3.HOG0000002	rna-XM_015251210.2
N3.HOG0000037	rna-XM_006219403.2
N3.HOG0000039	rna-XM_006219400.2
N3.HOG0000075	rna-XM_006212236.1
N3.HOG0000078	rna-XM_006219402.2
N3.HOG0000101	rna-XM_006203486.1
N3.HOG0000139	rna-XM_015242520.2
N3.HOG0000146	rna-XM_006208064.1
N3.HOG0000147	rna-XM_006208081.1
N3.HOG0000150	rna-XM_015240886.2
N3.HOG0000155	rna-XM_006219948.3
N3.HOG0000160	rna-XM_006200588.3
N3.HOG0000164	rna-XM_031673497.1
N3.HOG0000165	rna-XM_031691932.1
N3.HOG0000191	rna-XM_031689743.1
N3.HOG0000193	rna-XM_031670708.1
N3.HOG0000267	rna-XM_031690565.1
N3.HOG0000332	rna-XM_006214030.2
N3.HOG0000345	rna-XM_006220009.1
N3.HOG0000352	rna-XM_031676982.1
N3.HOG0000355	rna-XM_031675304.1
N3.HOG0000362	rna-XM_031675807.1
N3.HOG0000398	rna-XM_031684499.1
N3.HOG0000451	rna-XM_015235256.2
N3.HOG0000527	rna-XM_015247785.2
N3.HOG0000582	rna-XM_031675743.1
N3.HOG0000616	rna-XM_006215715.2
N3.HOG0000623	rna-XM_006218149.3
N3.HOG0000653	rna-XM_015250305.2
N3.HOG0000672	rna-XM_031673546.1
N3.HOG0000707	rna-XM_031685881.1
N3.HOG0000747	rna-XM_031677714.1
N3.HOG0000758	rna-XM_031671944.1
N3.HOG0000791	rna-XM_006209827.1
N3.HOG0000894	rna-XM_031679876.1
N3.HOG0001003	rna-XM_031672528.1
N3.HOG0001242	rna-XM_006202972.3
N3.HOG0001282	rna-XM_031687270.1
N3.HOG0001289	rna-XM_006215394.2
N3.HOG0001344	rna-XM_031674833.1
N3.HOG0001404	rna-XM_031679447.1
N3.HOG0001421	rna-XM_031675190.1
N3.HOG0001447	rna-XM_031685956.1
N3.HOG0001488	rna-XM_015243259.2
N3.HOG0001496	rna-XM_031673540.1
N3.HOG0001548	rna-XM_031674864.1
N3.HOG0001573	rna-XM_015234499.2
N3.HOG0001597	rna-XM_031679844.1
N3.HOG0001979	rna-XM_015244762.2
N3.HOG0002492	rna-XM_006203590.2
N3.HOG0003625	rna-XM_031676492.1
N3.HOG0017521	rna-XM_015238521.1
N3.HOG0017522	rna-XM_006203442.1
N3.HOG0017574	rna-XM_015238010.2
N3.HOG0018081	rna-XM_015238935.1
N3.HOG0018122	rna-XM_031681970.1
N3.HOG0018309	rna-XM_031672128.1
N3.HOG0018451	rna-XM_031678820.1
N3.HOG0018464	rna-XM_031679859.1
N3.HOG0018492	rna-XM_031682156.1
N3.HOG0018512	rna-XM_031676275.1
N3.HOG0018598	rna-XM_031691920.1
N3.HOG0018642	rna-XM_031671529.1
N3.HOG0018659	rna-XM_015252513.1
N3.HOG0018663	rna-XM_031672471.1
N3.HOG0018676	rna-XM_031673703.1
N3.HOG0018711	rna-XM_031676158.1
N3.HOG0018813	rna-XM_031684176.1
N3.HOG0018824	rna-XM_006213396.2
N3.HOG0018842	rna-XM_015238366.1
N3.HOG0018843	rna-XM_006203443.1
N3.HOG0018844	rna-XM_015238365.1
N3.HOG0018847	rna-XM_006203424.2
N3.HOG0018848	rna-XM_006203567.3
N3.HOG0018870	rna-XM_015249675.2
N3.HOG0018881	rna-XM_006202704.2
N3.HOG0018891	rna-XM_006214768.1
N3.HOG0018898	rna-XM_006214043.1
N3.HOG0018911	rna-XM_031691701.1
N3.HOG0018933	rna-XM_031672466.1
N3.HOG0018935	rna-XM_006220002.3
N3.HOG0018937	rna-XM_015252425.2
N3.HOG0018943	rna-XM_031673404.1
N3.HOG0018949	rna-XM_031674057.1
N3.HOG0019065	rna-XM_031676114.1
N3.HOG0019067	rna-XM_031683943.1
N3.HOG0019072	rna-XM_031671163.1
N3.HOG0019073	rna-XM_015239340.2
N3.HOG0019080	rna-XM_006218352.1
N3.HOG0019083	rna-XM_031677781.1
N3.HOG0019087	rna-XM_031679685.1
N3.HOG0019100	rna-XM_031683238.1
N3.HOG0019107	rna-XM_031685550.1
N3.HOG0019108	rna-XM_031685886.1
N3.HOG0019109	rna-XM_031685667.1
N3.HOG0019148	rna-XM_006217329.1
N3.HOG0019150	rna-XM_031672473.1
N3.HOG0019155	rna-XM_015250325.1
N3.HOG0019161	rna-XM_015234477.1
N3.HOG0019162	rna-XM_031673689.1
N3.HOG0019169	rna-XM_031674083.1
N3.HOG0019172	rna-XM_015244206.2
N3.HOG0019173	rna-XM_015244215.1
N3.HOG0019263	rna-XM_031683369.1
N3.HOG0019264	rna-XM_031686184.1
N3.HOG0019265	rna-XM_031672111.1
N3.HOG0019266	rna-XM_031677098.1
N3.HOG0019267	rna-XM_031677138.1
N3.HOG0019268	rna-XM_031677142.1
N3.HOG0019269	rna-XM_015236420.2
N3.HOG0019270	rna-XM_031679448.1
N3.HOG0019271	rna-XM_031680079.1
N3.HOG0019272	rna-XM_031681484.1
N3.HOG0019273	rna-XM_031684823.1
N3.HOG0019274	rna-XM_031683874.1
N3.HOG0019275	rna-XM_031683957.1
N3.HOG0019276	rna-XM_031683988.1
N3.HOG0019277	rna-XM_031684200.1
N3.HOG0019278	rna-XM_015235763.2
N3.HOG0019279	rna-XM_031684661.1
N3.HOG0019280	rna-XM_031671484.1
N3.HOG0019282	rna-XM_031672628.1
N3.HOG0019283	rna-XM_015245772.2
N3.HOG0019284	rna-XM_015245757.2
N3.HOG0019285	rna-XM_031673507.1
N3.HOG0019286	rna-XM_031673376.1
N3.HOG0019287	rna-XM_031676567.1
N3.HOG0019288	rna-XM_031673792.1
N3.HOG0019289	rna-XM_015251338.1
N3.HOG0019290	rna-XM_031677167.1
N3.HOG0019291	rna-XM_031677106.1
N3.HOG0019292	rna-XM_031677203.1
N3.HOG0019293	rna-XM_031677128.1
N3.HOG0019294	rna-XM_015245336.2
N3.HOG0019295	rna-XM_031677679.1
N3.HOG0019296	rna-XM_031677703.1
N3.HOG0019297	rna-XM_031677223.1
N3.HOG0019298	rna-XM_031677224.1
N3.HOG0019299	rna-XM_031678741.1
N3.HOG0019300	rna-XM_031677742.1
N3.HOG0019301	rna-XM_031677745.1
N3.HOG0019302	rna-XM_031678115.1
N3.HOG0019303	rna-XM_031677758.1
N3.HOG0019304	rna-XM_031677767.1
N3.HOG0019305	rna-XM_031678764.1
N3.HOG0019306	rna-XM_031678768.1
N3.HOG0019307	rna-XM_031678769.1
N3.HOG0019308	rna-XM_031678789.1
N3.HOG0019309	rna-XM_031678796.1
N3.HOG0019310	rna-XM_031679108.1
N3.HOG0019311	rna-XM_031679120.1
N3.HOG0019312	rna-XM_015240743.2
N3.HOG0019313	rna-XM_006206142.3
N3.HOG0019314	rna-XM_031678808.1
N3.HOG0019315	rna-XM_031678809.1
N3.HOG0019316	rna-XM_015242645.1
N3.HOG0019317	rna-XM_031678793.1
N3.HOG0019318	rna-XM_031678813.1
N3.HOG0019319	rna-XM_031679404.1
N3.HOG0019320	rna-XM_031679532.1
N3.HOG0019321	rna-XM_015252231.2
N3.HOG0019322	rna-XM_015250765.2
N3.HOG0019323	rna-XM_031679807.1
N3.HOG0019324	rna-XM_031679884.1
N3.HOG0019325	rna-XM_031679838.1
N3.HOG0019326	rna-XM_031679840.1
N3.HOG0019327	rna-XM_031679850.1
N3.HOG0019328	rna-XM_031679857.1
N3.HOG0019329	rna-XM_031680445.1
N3.HOG0019330	rna-XM_031680472.1
N3.HOG0019331	rna-XM_031680555.1
N3.HOG0019332	rna-XM_031680917.1
N3.HOG0019333	rna-XM_031681007.1
N3.HOG0019334	rna-XM_015238520.1
N3.HOG0019335	rna-XM_031681449.1
N3.HOG0019336	rna-XM_031681390.1
N3.HOG0019337	rna-XM_031682080.1
N3.HOG0019338	rna-XM_015243100.2
N3.HOG0019340	rna-XM_031682128.1
N3.HOG0019341	rna-XM_031681612.1
N3.HOG0019342	rna-XM_031682133.1
N3.HOG0019343	rna-XM_031682173.1
N3.HOG0019344	rna-XM_015247962.2
N3.HOG0019345	rna-XM_031682823.1
N3.HOG0019346	rna-XM_031682831.1
N3.HOG0019347	rna-XM_031682687.1
N3.HOG0019348	rna-XM_015238009.1
N3.HOG0019349	rna-XM_031682864.1
N3.HOG0019350	rna-XM_031682867.1
N3.HOG0019351	rna-XM_031683195.1
N3.HOG0019352	rna-XM_031682872.1
N3.HOG0019353	rna-XM_031683293.1
N3.HOG0019354	rna-XM_031683357.1
N3.HOG0019355	rna-XM_031683343.1
N3.HOG0019356	rna-XM_031683421.1
N3.HOG0019357	rna-XM_031683572.1
N3.HOG0019358	rna-XM_031683586.1
N3.HOG0019359	rna-XM_031683698.1
N3.HOG0019360	rna-XM_031683594.1
N3.HOG0019361	rna-XM_031683837.1
N3.HOG0019362	rna-XM_031684062.1
N3.HOG0019363	rna-XM_031683566.1
N3.HOG0019364	rna-XM_031684238.1
N3.HOG0019365	rna-XM_031684118.1
N3.HOG0019366	rna-XM_031684119.1
N3.HOG0019367	rna-XM_015248350.1
N3.HOG0019368	rna-XM_031684721.1
N3.HOG0019369	rna-XM_031685033.1
N3.HOG0019370	rna-XM_031684745.1
N3.HOG0019371	rna-XM_031684868.1
N3.HOG0019372	rna-XM_031684914.1
N3.HOG0019373	rna-XM_015241453.1
N3.HOG0019374	rna-XM_031684734.1
N3.HOG0019375	rna-XM_031685116.1
N3.HOG0019376	rna-XM_031685242.1
N3.HOG0019377	rna-XM_031685159.1
N3.HOG0019378	rna-XM_031685866.1
N3.HOG0019379	rna-XM_031685874.1
N3.HOG0019380	rna-XM_031685908.1
N3.HOG0019381	rna-XM_015252062.2
N3.HOG0019382	rna-XM_031686096.1
N3.HOG0019383	rna-XM_031686110.1
N3.HOG0019384	rna-XM_031686112.1
N3.HOG0019385	rna-XM_031686128.1
N3.HOG0019386	rna-XM_031686747.1
N3.HOG0019387	rna-XM_031686940.1
