gene	alpha	pval	p.adjust	poly neutral	diver neutral	poly selected	diver selected	ka	ks	
PLD2	0.808890292	0.038034064	1	11	16.61826	2	15.8103	0.009	0.0282	
COL11A1	0.816169667	0.013387432	1	11	180.07626	2	178.1052	0.049	0.1183	
PKN1	1	0.026339914	1	4	151.96572	2	229.41177	0.2513	0.6052	
TF	0.8400944	0.017030046	1	8	30.71548	2	48.02127	0.0363	0.0628	
USP20	0.806083371	0.022201496	1	16	34.24608	2	22.07526	0.0097	0.0759	
KBTBD12	0.880814978	0.030323612	1	6	37.6208	1	52.6084	0.1742	0.3359	
MYO1D	0.896473348	0.009320583	1	13	45.01987	1	33.45097	0.0161	0.0619	
DDX55	0.807974309	0.013172104	1	10	26.86321	2	41.96815	0.0665	0.1639	
DRC1	0.886347397	0.040383568	1	9	9.289	1	9.08128	0.0118	0.035	
RPS5	0.904580821	0.014141017	1	9	14.2272	1	16.5669	0.0343	0.1248	
METTL22	0.903338945	0.013353957	1	9	19.6365	1	22.572	0.0396	0.1007	
HADHA	0.874533144	0.039419908	1	8	16.2324	1	16.172	0.0104	0.0243	
ADCY5	0.881117383	0.014645713	1	16	51.76113	1	27.21231	0.0137	0.1279	
DNAJC15	1	0.02037037	1	5	9.05002	1	14.00032	0.0536	0.0889	
DLX6	0.89015752	0.043748898	1	4	18.16002	1	41.33196	0.1073	0.1299	
RIPOR2	0.748573787	0.038053291	1	9	33.02385	3	43.78203	0.0327	0.0685	
DGAT2L6	1	0.045454545	1	2	0.9975	1	9.0678	0.0127	0.0035	
CLCA1	0.914802206	0.006708761	1	10	21.48748	1	25.2207	0.0135	0.0266	
PARP1	0.821453392	0.015231713	1	13	38.30976	2	33.00992	0.0164	0.0648	
SPP1	0.938846486	0.022967229	1	7	3.03534	2	7.09068	0.0148	0.0146	
TTC7B	0.855138077	0.04718863	1	6	70.04457	1	80.58774	0.0634	0.1363	
RIN3	0.883348726	0.030813513	1	6	25.39449	2	36.28263	0.0321	0.1017	
DES	0.939138877	0.007064771	1	26	9.6064	1	6.07082	0.0103	0.079	
GUCY1A2	0.823493264	0.037240998	1	6	16.28613	2	30.75639	0.0877	0.1231	
ACTC1	0.90380034	0.022412657	1	20	13.568	1	7.052	0.0082	0.0512	
GP5	0.892531151	0.034889259	1	7	3.01852	3	8.02497	0.0093	0.0092	
MELTF	0.885497569	0.020642529	1	7	50.23984	1	62.68094	0.0463	0.1447	
OTOF	0.638656212	0.00129306	0.90643506	24	128.85762	21	297.17226	0.1078	0.2074	
NRG1	0.889750533	0.021265835	1	6	55.30448	2	83.60506	0.1631	0.3752	
EFL1	0.911342072	0.008594303	1	13	17.43822	1	15.13008	0.0152	0.0387	
ATP10B	0.647210857	0.03928905	1	13	114.10546	5	124.39928	0.0412	0.1351	
SF3B2	0.886457748	0.015581881	1	10	38.23566	1	33.67527	0.0179	0.0538	
USF2	0.898299373	0.026045643	1	5	23.84329	1	46.88917	0.0911	0.1873	
MPHOSPH10	1	0.046253803	1	6	21.7175	2	17.1554	0.0124	0.035	
ADAMTS15	0.768936867	0.040177166	1	14	45.18413	2	27.93555	0.0135	0.1139	
FADS2	0.950176706	0.005290362	1	6	4.469	1	14.9495	0.029	0.0436	
DOCK2	0.9222177	5.67E-05	0.1173474	21	31.992	3	39.1716	0.0234	0.0688	
PC	0.869502123	0.024363646	1	11	41.27304	1	28.75215	0.0105	0.0552	
BPIFA1	0.894582749	0.043453402	1	4	14.67312	1	34.79772	0.0709	0.0616	
RETSAT	0.877443165	0.001175893	0.90643506	12	20.24484	4	41.29684	0.0298	0.0462	
PCSK2	0.770524076	0.008525679	1	14	43.13	4	53.7	0.0375	0.1135	
PEX6	1	0.049275362	1	6	12.16488	1	10.0836	0.006	0.0182	
HACD3	1	0.035087719	1	2	2.00178	1	15.24759	0.0227	0.0066	
SNRNP200	0.798757981	0.001621557	0.974324106	23	67.69408	3	58.50112	0.0232	0.0992	
KIAA0100	0.755512797	0.029732005	1	20	29.52936	4	18.11712	0.0056	0.0217	
CSRNP1	1	0.014810835	1	7	52.56768	1	47.034	0.045	0.1441	
WRN	0.895619111	0.002919803	1	9	19.8069	4	42.168	0.021	0.0309	
FOXI1	0.827445872	0.030764716	1	10	14.66302	2	16.99527	0.0303	0.2122	
ZNF423	1	0.034413991	1	15	39.68316	1	11.63712	0.0038	0.0911	
SLC29A1	0.906833506	0.010601031	1	7	43.33196	1	66.4432	0.131	0.2537	
SEC13	0.864914636	0.02303585	1	8	6.44127	2	11.92074	0.0174	0.0393	
USP43	0.738063781	0.035880213	1	15	5.13876	12	14.3868	0.038	0.0374	
KMT2A	0.784903579	0.002509312	1	13	115.33228	6	206.22644	0.0509	0.0722	
PCK1	0.868073899	0.008808803	1	9	17.045	3	28.71136	0.0368	0.0875	
AUTS2	0.936396141	8.65E-06	0.0363819	15	55.44536	2	116.2306	0.073	0.1132	activator of transcription and developmental regulator AUTS2
DCLK1	0.897796087	0.019092262	1	8	19.92888	1	24.37392	0.0232	0.0622	
MAGED1	0.907740952	0.024016563	1	11	8.09172	1	7.97332	0.0053	0.0117	
DSCAML1	0.946173293	8.37E-05	0.1173474	26	46.2672	1	33.05994	0.0089	0.063	
PHKB	0.741692394	0.048803916	1	8	31.94174	3	46.37166	0.0321	0.0571	
ACSM5	0.899672916	0.038405797	1	6	7.67076	2	12.74292	0.0874	0.1318	
HEXD	1	0.000395132	0.415481298	8	9.39888	2	22.48704	0.0256	0.0488	
CHID1	1	0.033333333	1	6	1.00008	1	3.02481	0.0051	0.0072	
CDH2	0.839575322	0.049840564	1	16	8.10966	2	6.3189	0.017	0.0562	
COL1A1	0.761439869	0.009347604	1	24	32.34977	4	22.60071	0.0099	0.0227	
ACSBG1	0.7287579	0.035286837	1	8	15.41412	5	35.51744	0.0224	0.0423	
