HOG,mi,Di,m0,D0,SYMBOL,GENENAME
N0.HOG0000143,3258.9,17.59806,1160.1,59.1651,MYH8,myosin heavy chain 8
N0.HOG0000147,327.2,4.02456,77.8,5.2904,MYH4,myosin heavy chain 4
N0.HOG0000299,1222.4,1.95584,436.6,11.26428,GK2,glycerol kinase 2
N0.HOG0000332,690,20.562,255,18.972,OR2V1,olfactory receptor family 2 subfamily V member 1
N0.HOG0000337,1255.3,15.69125,490.7,24.58407,CNTNAP4,contactin associated protein family member 4
N0.HOG0000381,866.2,1.03944,162.8,7.21204,CSNK1D,casein kinase 1 delta
N0.HOG0000382,2522.6,18.16272,954.4,21.37856,GPRASP1,G protein-coupled receptor associated sorting protein 1
N0.HOG0000395,646,4.0052,266,3.0324,PAPOLB,poly(A) polymerase beta
N0.HOG0000396,1020.3,1.0203,380.7,3.00753,PAPOLA,poly(A) polymerase alpha
N0.HOG0000406,2361.8,1.88944,563.2,42.97216,ATP1A2,ATPase Na+/K+ transporting subunit alpha 2
N0.HOG0000418,391.4,1.01764,52.6,6.65916,WNT5B,Wnt family member 5B
N0.HOG0000419,759.4,11.31506,146.6,16.14066,WNT5A,Wnt family member 5A
N0.HOG0000425,687.1,3.98518,146.9,5.11212,PYCR1,pyrroline-5-carboxylate reductase 1
N0.HOG0000426,434.8,1.00004,144.2,8.37802,PYCR2,pyrroline-5-carboxylate reductase 2
N0.HOG0000439,691,2.0039,131,11.79,PROKR1,prokineticin receptor 1
N0.HOG0000631,371.7,4.53474,123.3,3.5757,IL18BP,interleukin 18 binding protein
N0.HOG0000685,928.7,31.76154,181.3,21.86478,DDX54,DEAD-box helicase 54
N0.HOG0000792,514.6,16.87888,196.4,10.95912,DMKN,dermokine
N0.HOG0000855,1321.4,5.02132,397.6,18.80648,HSPA12A,heat shock protein family A (Hsp70) member 12A
N0.HOG0000882,594.6,1.01082,197.4,3.03996,PCBP4,poly(rC) binding protein 4
N0.HOG0000886,1254.7,40.52681,437.3,29.78013,GLB1,Homo sapiens galactosidase beta 1 
N0.HOG0000890,388.4,24.31384,121.6,17.65632,RABGEF1,RAB guanine nucleotide exchange factor 1
N0.HOG0002058,404.4,2.022,138.6,4.0887,VAC14,VAC14 component of PIKFYVE complex
N0.HOG0002766,980.1,39.69405,363.9,39.51954,WWP1,WW domain containing E3 ubiquitin protein ligase 1
N0.HOG0002799,2490.2,4.9804,749.8,63.80798,ACACB,acetyl-CoA carboxylase beta
N0.HOG0003235,651,2.9946,201,7.1958,PRMT2,protein arginine methyltransferase 2
N0.HOG0003236,2376.3,14.49543,812.7,25.43751,DIP2A,disco interacting protein 2 homolog A
N0.HOG0003237,4055.4,77.45814,1146.6,82.89918,PCNT,pericentrin
N0.HOG0003238,104.3,4.10942,12.7,2.36093,YBEY,ybeY metalloendoribonuclease
N0.HOG0003239,4055.3,43.79724,1629.7,69.09928,MCM3AP,minichromosome maintenance complex component 3 associated protein
N0.HOG0003241,1750,47.775,509,52.8342,COL6A2,collagen type VI alpha 2 chain
N0.HOG0003242,1592.5,43.15675,411.5,71.1895,COL6A1,collagen type VI alpha 1 chain
N0.HOG0003244,572,10.1244,94,20.8586,SLC19A1,solute carrier family 19 member 1
N0.HOG0003245,768.4,2.99676,128.6,15.79208,POFUT2,protein O-fucosyltransferase 2
N0.HOG0003246,1255.3,9.03816,232.7,21.68764,ADARB1,adenosine deaminase RNA specific B1
N0.HOG0003247,1309.2,16.49592,181.8,26.8155,ITGB2,integrin subunit beta 2
N0.HOG0003250,645.5,2.00105,113.5,12.031,LRRC3,leucine rich repeat containing 3
N0.HOG0003251,2111.5,72.00215,354.5,68.73755,TRPM2,transient receptor potential cation channel subfamily M member 2
N0.HOG0003253,1741.4,1.04484,307.6,43.55616,PFKL,"phosphofructokinase, liver type"
N0.HOG0003254,680.5,11.09215,195.5,11.47585,AGPAT3,1-acylglycerol-3-phosphate O-acyltransferase 3
N0.HOG0003255,549.3,17.35788,155.7,18.96426,RRP1,ribosomal RNA processing 1
N0.HOG0003256,633.1,26.02041,104.9,17.91692,PDXK,pyridoxal kinase
N0.HOG0003257,1059.5,25.428,353.5,23.36635,RRP1B,ribosomal RNA processing 1B
N0.HOG0003258,689.3,8.06481,273.7,8.15626,HSF2BP,heat shock transcription factor 2 binding protein
N0.HOG0003259,516.1,0.98059,212.9,9.3676,PKNOX1,PBX/knotted 1 homeobox 1
N0.HOG0003261,402.8,20.3414,104.2,7.73164,WDR4,WD repeat domain 4
N0.HOG0003262,699.8,175.2999,218.2,116.60608,PDE9A,phosphodiesterase 9A
N0.HOG0003263,1101.3,2.97351,305.7,20.1762,SLC37A1,solute carrier family 37 member 1
N0.HOG0003264,456,37.8936,120,26.964,UBASH3A,ubiquitin associated and SH3 domain containing A
N0.HOG0003265,1039.7,16.21932,319.3,20.05204,TMPRSS3,transmembrane serine protease 3
N0.HOG0003266,1494.3,1.04601,365.7,29.9874,ABCG1,ATP binding cassette subfamily G member 1
N0.HOG0003268,1022.4,12.57552,222.6,7.6797,ZBTB21,zinc finger and BTB domain containing 21
N0.HOG0003269,1073.5,15.13635,351.5,24.35895,C2CD2,C2 calcium dependent domain containing 2
N0.HOG0003270,2006,36.3086,358,49.0818,PRDM15,PR/SET domain 15
N0.HOG0003271,1457.9,6.99792,282.1,29.98723,RIPK4,receptor interacting serine/threonine kinase 4
N0.HOG0003272,536.9,29.04629,168.1,11.53166,TMPRSS2,transmembrane serine protease 2
N0.HOG0003273,531.7,10.15547,170.3,8.32767,FAM3B,FAM3 metabolism regulating signaling molecule B
N0.HOG0003274,483.3,2.99646,182.7,8.23977,BACE2,beta-secretase 2
N0.HOG0003275,2694,33.1362,819,66.1752,DSCAM,DS cell adhesion molecule
N0.HOG0003276,4712.7,28.2762,1473.3,52.59681,BRWD1,bromodomain and WD repeat domain containing 1
N0.HOG0003277,515.3,2.00967,213.7,1.00439,PSMG1,proteasome assembly chaperone 1
N0.HOG0003278,897.7,4.03965,224.3,11.46173,ETS2,"ETS proto-oncogene 2, transcription factor"
N0.HOG0003279,573.8,6.8856,203.2,15.15872,ERG,ETS transcription factor ERG
N0.HOG0003280,908.9,1.99958,216.1,19.34095,KCNJ15,potassium inwardly rectifying channel subfamily J member 15
N0.HOG0003283,2715.1,23.07835,1079.9,36.17665,TTC3,tetratricopeptide repeat domain 3
N0.HOG0003284,207.4,2.01178,83.6,3.08484,PIGP,phosphatidylinositol glycan anchor biosynthesis class P
N0.HOG0003285,778.3,7.54951,313.7,12.8617,HLCS,holocarboxylase synthetase
N0.HOG0003286,1246.2,19.81458,301.8,29.99892,SIM2,SIM bHLH transcription factor 2
N0.HOG0003287,561.6,12.69216,62.4,9.37248,CLDN14,claudin 14
N0.HOG0003288,1178.7,5.06841,486.3,15.31845,CHAF1B,chromatin assembly factor 1 subunit B
N0.HOG0003289,1938.5,11.04945,632.5,16.38175,MORC3,MORC family CW-type zinc finger 3
N0.HOG0003291,232.8,1.00104,112.2,3.05184,CLIC6,chloride intracellular channel 6
N0.HOG0003293,272.4,1.00788,96.6,7.42854,KCNE2,potassium voltage-gated channel subfamily E regulatory subunit 2
N0.HOG0003294,1518.3,1.06281,635.7,7.05627,SLC5A3,solute carrier family 5 member 3
N0.HOG0003295,3390.8,8.13792,1421.2,36.80908,ITSN1,intersectin 1
N0.HOG0003296,657.5,8.08725,215.5,5.0858,CRYZL1,crystallin zeta like 1
N0.HOG0003298,4679.7,43.05324,1989.3,51.12501,SON,SON DNA and RNA binding protein
N0.HOG0003299,587.8,3.99704,240.2,7.13394,IL10RB,interleukin 10 receptor subunit beta
N0.HOG0003301,389.3,46.56028,69.7,19.20932,OLIG2,oligodendrocyte transcription factor 2
N0.HOG0003303,2671.8,8.0154,1096.2,19.29312,SYNJ1,synaptojanin 1
N0.HOG0003304,471.1,2.02573,161.9,5.13223,EVA1C,eva-1 homolog C
N0.HOG0003305,4629.1,56.01211,1682.9,93.90582,URB1,URB1 ribosome biogenesis homolog
N0.HOG0003307,1348.1,12.1329,379.9,30.0121,HUNK,hormonally up-regulated Neu-associated kinase
N0.HOG0003308,2175.3,6.96096,866.7,16.29396,SCAF4,SR-related CTD associated factor 4
N0.HOG0003310,2575.8,5.92434,925.2,26.64576,TIAM1,TIAM Rac1 associated GEF 1
N0.HOG0003311,344,1.9952,124,2.0212,KRTAP11-1,keratin associated protein 11-1
N0.HOG0003313,425.8,5.02444,159.2,3.04072,CLDN8,claudin 8
N0.HOG0003315,1431.1,9.58837,569.9,19.09165,BACH1,BTB domain and CNC homolog 1
N0.HOG0003316,1031.9,16.20083,384.1,26.57972,CCT8,chaperonin containing TCP1 subunit 8
N0.HOG0003317,1787,8.0415,610,13.176,USP16,ubiquitin specific peptidase 16
N0.HOG0003318,611.4,2.99586,258.6,8.17176,RWDD2B,RWD domain containing 2B
N0.HOG0003319,3769.8,7.91658,1480.2,32.5644,LTN1,listerin E3 ubiquitin protein ligase 1
N0.HOG0003320,367.6,2.0218,163.4,8.3334,N6AMT1,N-6 adenine-specific DNA methyltransferase 1
N0.HOG0003321,1213.7,6.0685,388.3,25.39482,ADAMTS5,ADAM metallopeptidase with thrombospondin type 1 motif 5
N0.HOG0003322,1355.9,5.96596,441.1,24.08406,ADAMTS1,ADAM metallopeptidase with thrombospondin type 1 motif 1
N0.HOG0003323,326.6,2.02492,123.4,2.02376,CYYR1,cysteine and tyrosine rich 1
N0.HOG0003325,456.2,3.01092,170.8,3.04024,JAM2,junctional adhesion molecule 2
N0.HOG0003326,433.7,1.99502,169.3,6.14559,MRPL39,mitochondrial ribosomal protein L39
N0.HOG0003328,2065.5,15.07815,757.5,26.8155,TMPRSS15,transmembrane serine protease 15
N0.HOG0003329,464.8,3.0212,159.2,9.36096,CHODL,chondrolectin
N0.HOG0003330,453.1,8.11049,188.9,2.02123,C21orf91,chromosome 21 open reading frame 91
N0.HOG0003331,472.1,0.99141,151.9,7.23044,CXADR,CXADR Ig-like cell adhesion molecule
N0.HOG0003332,1201.7,21.6306,367.3,21.70743,USP25,ubiquitin specific peptidase 25
N0.HOG0003333,2446.2,21.03732,1018.8,30.76776,NRIP1,nuclear receptor interacting protein 1
N0.HOG0003334,793,4.9959,284,7.1284,SAMSN1,"SAM domain, SH3 domain and nuclear localization signals 1"
N0.HOG0003335,1002.4,2.0048,407.6,8.11124,HSPA13,heat shock protein family A (Hsp70) member 13
