HOG	OG	Gene Tree Parent Clade	alpc	cambac	camdro	camfer	guanc	llama	vicgn
N3.HOG0000000	OG0000001	n2	rna-XM_015251235.1	rna-XM_010962131.1	rna-XM_010998932.2	rna-XM_014563208.2	rna-XM_015251235.1	rna-XM_015251235.1	rna-XM_015251235.1
N3.HOG0000001	OG0000001	n22	rna-XM_015251209.1		rna-XM_010998931.2	rna-XM_006189389.2	rna-XM_015251209.1	rna-XM_015251209.1	rna-XM_015251209.1
N3.HOG0000002	OG0000001	n42	rna-XM_015251210.2				rna-XM_015251210.2	rna-XM_015251210.2	rna-XM_015251210.2
N3.HOG0000003	OG0000001	n133	rna-XM_031689500.1	rna-XM_010962148.1	rna-XM_031438237.1	rna-XM_032466356.1	rna-XM_031689500.1	rna-XM_031689500.1	rna-XM_031689500.1
N3.HOG0000004	OG0000001	n139		rna-XM_010962147.1	rna-XM_031438238.1	rna-XM_032466355.1			
N3.HOG0000005	OG0000001	n144	rna-XM_031689779.1		"rna-XM_031438236.1, rna-XM_031438235.1"	"rna-XM_032466357.1, rna-XM_032466358.1"	rna-XM_031689779.1	rna-XM_031689779.1	rna-XM_031689779.1
N3.HOG0000006	OG0000001	n153			rna-XM_031438239.1	rna-XM_032466354.1			
N3.HOG0000007	OG0000001	n155	rna-XM_006206474.3	rna-XM_010954284.1	"rna-XM_031438226.1, rna-XM_031438227.1"	rna-XM_032466362.1	rna-XM_006206474.3	rna-XM_006206474.3	rna-XM_006206474.3
N3.HOG0000008	OG0000001	n178	rna-XM_015241013.2	rna-XM_010954213.1	rna-XM_010978364.2	rna-XM_006179380.3	rna-XM_015241013.2	rna-XM_015241013.2	rna-XM_015241013.2
N3.HOG0000009	OG0000001	n184	rna-XM_006206258.2	rna-XM_010954210.1	rna-XM_010999193.2	rna-XM_006179382.3	rna-XM_006206258.2	rna-XM_006206258.2	rna-XM_006206258.2
N3.HOG0000010	OG0000001	n191	rna-XM_015251206.1	rna-XM_010962150.1			rna-XM_015251206.1	rna-XM_015251206.1	rna-XM_015251206.1
N3.HOG0000011	OG0000003	n7	rna-XM_031688915.1	rna-XM_010958524.1	rna-XM_010996687.2	rna-XM_032464385.1	rna-XM_031688915.1	rna-XM_031688915.1	
N3.HOG0000012	OG0000003	n12	rna-XM_006219753.3	"rna-XM_010958525.1, rna-XM_010958526.1"	rna-XM_031436524.1	"rna-XM_006186571.3, rna-XM_032464388.1"	rna-XM_006219753.3	rna-XM_006219753.3	rna-XM_006219753.3
N3.HOG0000013	OG0000003	n27	rna-XM_031688910.1	rna-XM_010958532.1		rna-XM_006195438.3	rna-XM_015250127.2	rna-XM_015250127.2	
N3.HOG0000014	OG0000003	n53	rna-XM_015251762.2	rna-XM_010974209.1	rna-XM_010980159.1	rna-XM_006182188.3	rna-XM_015251762.2	rna-XM_015251762.2	rna-XM_015251762.2
N3.HOG0000015	OG0000003	n89	rna-XM_015251738.2	rna-XM_010974168.1	rna-XM_031435497.1	rna-XM_006182156.3	rna-XM_015251738.2	rna-XM_015251738.2	rna-XM_015251738.2
N3.HOG0000016	OG0000003	n99	rna-XM_031688268.1	rna-XM_010974195.1	rna-XM_010980165.2	rna-XM_006182175.3	rna-XM_031688268.1	rna-XM_031688268.1	rna-XM_031688268.1
N3.HOG0000017	OG0000003	n106	rna-XM_031688260.1		rna-XM_031435480.1	rna-XM_032463420.1	rna-XM_006218926.3	rna-XM_006218926.3	rna-XM_031688260.1
N3.HOG0000018	OG0000003	n111	rna-XM_031688264.1	rna-XM_010974198.1	rna-XM_031435493.1	rna-XM_032463417.1	rna-XM_015251761.2	rna-XM_015251761.2	rna-XM_031688264.1
N3.HOG0000019	OG0000003	n117	rna-XM_006218923.3	"rna-XM_010945770.1, rna-XM_010974207.1, rna-XM_010974172.1, rna-XM_010974199.1, rna-XM_010974203.1"	"rna-XM_031435499.1, rna-XM_010980194.2, rna-XM_010980167.2, rna-XM_031435498.1"	"rna-XM_032463425.1, rna-XM_032463403.1, rna-XM_006195466.3, rna-XM_006182170.3"	rna-XM_006218923.3	rna-XM_006218923.3	
N3.HOG0000020	OG0000003	n134	rna-XM_006215259.3	"rna-XM_010974151.1, rna-XM_010974148.1"	"rna-XM_010974709.2, rna-XM_031435496.1"	"rna-XM_032463422.1, rna-XM_006194165.2"	rna-XM_006215259.3	rna-XM_006215259.3	rna-XM_006215259.3
N3.HOG0000021	OG0000003	n143	rna-XM_031688267.1	"rna-XM_010974152.1, rna-XM_010974158.1, rna-XM_010974146.1"	"rna-XM_010974730.2, rna-XM_031435494.1, rna-XM_031435495.1"	"rna-XM_006194162.3, rna-XM_032463421.1, rna-XM_032463423.1"	rna-XM_031688266.1	rna-XM_031688266.1	rna-XM_031688266.1
N3.HOG0000022	OG0000005	n1	"rna-XM_006219896.1, rna-XM_031672210.1"	"rna-XM_010971955.1, rna-XM_010950528.1"	"rna-XM_031441914.1, rna-XM_031449182.1"	"rna-XM_032476943.1, rna-XM_032476939.1"	rna-XM_006219896.1	rna-XM_006219896.1	"rna-XM_006219896.1, rna-XM_031672210.1"
N3.HOG0000023	OG0000005	n19	rna-XM_031670998.1	rna-XM_010950527.1	rna-XM_010990750.2	rna-XM_032476940.1	rna-XM_031670998.1	rna-XM_031670998.1	rna-XM_031670998.1
N3.HOG0000024	OG0000005	n27			rna-XM_010990701.2				
N3.HOG0000025	OG0000005	n47	rna-XM_031671027.1	"rna-XM_010945901.1, rna-XM_010971939.1"	rna-XM_031449185.1	rna-XM_032476946.1	rna-XM_031671027.1	rna-XM_031671027.1	rna-XM_031671027.1
N3.HOG0000026	OG0000005	n58	rna-XM_031671008.1	rna-XM_010945819.1	rna-XM_031449188.1		rna-XM_031671008.1	rna-XM_031671008.1	rna-XM_031671008.1
N3.HOG0000027	OG0000005	n67		rna-XM_010945874.1	rna-XM_010990769.2	rna-XM_032476941.1			
N3.HOG0000028	OG0000005	n75	rna-XM_031672197.1	rna-XM_010945924.1	rna-XM_031449187.1	rna-XM_032476948.1	rna-XM_031672197.1	rna-XM_031672197.1	rna-XM_031672197.1
N3.HOG0000029	OG0000005	n85	rna-XM_006219745.3	rna-XM_010950529.1	rna-XM_031449186.1	rna-XM_032476949.1	rna-XM_006219745.3	rna-XM_006219745.3	rna-XM_006219745.3
N3.HOG0000030	OG0000005	n94	rna-XM_031671028.1	rna-XM_010945915.1	"rna-XM_031449183.1, rna-XM_031449181.1"	"rna-XM_032476947.1, rna-XM_032476937.1"	rna-XM_031671028.1	rna-XM_031671028.1	rna-XM_031671028.1
N3.HOG0000031	OG0000005	n112			rna-XM_031449189.1				
N3.HOG0000032	OG0000005	n114	rna-XM_031671019.1	rna-XM_010945886.1	rna-XM_031449180.1	rna-XM_032476936.1	rna-XM_031671019.1	rna-XM_031671019.1	rna-XM_031671019.1
N3.HOG0000033	OG0000006	n2					rna-XM_015246121.2	rna-XM_015246121.2	
N3.HOG0000034	OG0000006	n4		rna-XM_010965017.1	rna-XM_011000703.2	rna-XM_014567302.2			
N3.HOG0000035	OG0000006	n9		rna-XM_010966079.1		rna-XM_014566923.2		rna-XM_015252198.2	
N3.HOG0000036	OG0000006	n14	"rna-XM_006219717.2, rna-XM_015252198.2"	rna-XM_010970188.1	rna-XM_031441673.1	rna-XM_006174676.2	rna-XM_015252198.2	rna-XM_006219717.2	rna-XM_006219717.2
N3.HOG0000037	OG0000006	n48	rna-XM_006219403.2				rna-XM_006219403.2	rna-XM_006219403.2	rna-XM_006219399.2
N3.HOG0000038	OG0000006	n53		rna-XM_010964507.1		rna-XM_014556231.2			
N3.HOG0000039	OG0000006	n57	rna-XM_006219400.2				rna-XM_006219400.2	rna-XM_006219400.2	rna-XM_006219400.2
N3.HOG0000040	OG0000006	n61	rna-XM_015251940.2		rna-XM_031446731.1	rna-XM_032474236.1	rna-XM_015251940.2	rna-XM_015251940.2	rna-XM_015251940.2
N3.HOG0000041	OG0000006	n66	rna-XM_006219404.3		rna-XM_010997081.2	rna-XM_032490485.1	rna-XM_006219404.3	rna-XM_006219404.3	rna-XM_006219404.3
N3.HOG0000042	OG0000006	n71		rna-XM_010964508.1	rna-XM_010997076.2	rna-XM_032488683.1			
N3.HOG0000043	OG0000006	n73	rna-XM_006219399.2	rna-XM_010965009.1	rna-XM_010997083.2	rna-XM_032490486.1	rna-XM_006219399.2	rna-XM_006219399.2	
N3.HOG0000044	OG0000006	n79	"rna-XM_031673549.1, rna-XM_006219398.2"	rna-XM_010965006.1	rna-XM_010986894.2	rna-XM_032490487.1	"rna-XM_031673549.1, rna-XM_006219398.2"	"rna-XM_031673549.1, rna-XM_006219398.2"	rna-XM_006219398.2
N3.HOG0000045	OG0000006	n88	"rna-XM_015252128.2, rna-XM_031673550.1"	"rna-XM_010970187.1, rna-XM_010970190.1"	"rna-XM_010995281.2, rna-XM_031441667.1"	"rna-XM_014565447.2, rna-XM_032470445.1"	rna-XM_015252128.2	"rna-XM_015252128.2, rna-XM_031673550.1"	rna-XM_015252128.2
N3.HOG0000046	OG0000006	n101	rna-XM_006219409.2	rna-XM_010970189.1	rna-XM_011000366.2	rna-XM_006174677.2	rna-XM_006219409.2		rna-XM_006219409.2
N3.HOG0000047	OG0000006	n106	rna-XM_006219406.2	rna-XM_010964510.1	rna-XM_010997074.2	rna-XM_014566975.2	rna-XM_006219406.2	rna-XM_006219406.2	rna-XM_006219406.2
N3.HOG0000048	OG0000007	n22	"rna-XM_031688269.1, rna-XM_031688277.1"	rna-XM_010974153.1	"rna-XM_031435336.1, rna-XM_031435500.1"	rna-XM_014567235.2	"rna-XM_031688269.1, rna-XM_031688277.1"	"rna-XM_031688269.1, rna-XM_031688277.1"	"rna-XM_031688269.1, rna-XM_031688277.1"
N3.HOG0000049	OG0000007	n33	rna-XM_031688273.1		rna-XM_031435502.1	rna-XM_032463427.1	rna-XM_031688273.1	rna-XM_031688273.1	rna-XM_031688273.1
N3.HOG0000050	OG0000007	n41	rna-XM_006220104.3		rna-XM_031435504.1		rna-XM_006220104.3	rna-XM_006220104.3	
N3.HOG0000051	OG0000007	n44	rna-XM_031688271.1		rna-XM_010980192.2	rna-XM_014557165.2	rna-XM_031688271.1	rna-XM_031688271.1	rna-XM_031688271.1
N3.HOG0000052	OG0000007	n49	rna-XM_006218925.3	rna-XM_010974200.1	rna-XM_031435501.1	rna-XM_032463426.1	rna-XM_006218925.3	rna-XM_006218925.3	rna-XM_006218925.3
